,0,1
0,164,8303450130031.789
1,324,5181301493196.655
2,644,4615302683168.465
3,804,3374658575279.185
4,964,2156804389084.0254
5,1124,1865156257524.0305
6,5444,1052286019293.111
7,5604,907308284051.4938
8,5764,840524365074.8
9,5924,819804103466.0526
10,6404,787244861624.1198
11,12964,612016034081.249
12,16964,505050271420.82556
13,20964,495116622714.5955
14,24964,475844304183.1023
15,28964,453389935810.64087
16,32964,438318953526.73303
17,36964,430780371859.7109
18,40964,423591092778.1874
19,44964,406339783576.3582
20,48964,398357838006.2804
21,52964,390481661917.7438
22,56964,384107362778.98254
23,60964,377787126992.87756
24,64964,371575971631.2002
25,68964,363051007840.16986
26,72964,353490176592.9345
27,76964,346594446008.3185
28,80964,340993323327.18414
29,84964,338883039438.22595
30,88964,330882919945.5105
31,92964,326151075551.252
32,96964,321970522631.98773
33,100964,316586437126.2957
34,104964,312405283891.61017
35,108964,308863553441.87585
36,112964,304119013682.8123
37,116964,301415537416.3803
38,120964,297943582848.17096
39,124964,293392743097.7666
40,128964,289657547072.723
41,132964,285385038806.1053
42,136964,282648125559.5978
43,140964,279260451556.9384
44,144964,273187941105.62384
45,148964,270648318658.75327
46,152964,265813170632.23218
47,156964,261522548476.08884
48,160964,259191842043.4661
49,164964,255787478235.79868
50,168964,251748206960.27777
51,172964,248470807608.4826
52,176964,245756772289.07053
53,180964,242208253843.30408
54,184964,237900564295.3001
55,188964,235082570876.2156
56,192964,233049996659.48645
57,196964,227994576147.38483
58,200964,224252699621.9788
59,204964,222083638073.7737
60,208964,218784620502.89954
61,212964,217315239618.10452
62,216964,214904741151.1532
63,220964,214271235568.00296
64,224964,211574901100.1052
65,228964,209464118245.28766
66,232964,207981480047.44836
67,236964,205425424346.42386
68,240964,204603737724.69073
69,244964,201933014388.3929
70,248964,200482023678.329
71,252964,199056610073.00452
72,256964,197170086660.02747
73,260964,196505367157.81354
74,264964,193411964655.04535
75,268964,191865440752.2943
76,272964,189935843716.59277
77,276964,188305278481.4803
78,280964,185742642666.95233
79,284964,184345084180.1942
80,288964,182301107692.088
81,292964,181283093962.08823
82,296964,180501985633.20926
83,300964,178987049250.27347
84,304964,177571305337.99478
85,308964,176614287813.45517
86,312964,175842753303.24908
87,316964,174445528915.19888
88,320964,173435050484.42477
89,324964,172127724032.55542
90,328964,171101290552.21378
91,332964,169803447938.77847
92,336964,169324239719.44302
93,340964,168705527315.51508
94,344964,167613112091.97504
95,348964,166711941733.7635
96,352964,166462002723.93994
97,356964,165811646939.6003
98,360964,165189425186.57077
99,364964,164310172014.8208
100,368964,163837711480.3079
101,372964,163003064510.27515
102,376964,161564249981.67502
103,380964,160970761929.98245
104,384964,160516301324.14862
105,388964,159618311823.92157
106,392964,159082567970.73758
107,396964,158439524152.9
108,400964,157998948696.70648
109,404964,156975160822.44208
110,408964,156724847056.25916
111,412964,156006029506.55923
112,416964,154698154505.19025
113,420964,154068409582.34402
114,424964,153415256729.2337
115,428964,152710190705.24042
116,432964,152091250868.5522
117,436964,151456531482.59418
118,440964,150906154711.25473
119,444964,150144667303.90833
120,448964,149613023916.45425
121,452964,148842873118.0863
122,456964,148229377099.76373
123,460964,147774453185.99484
124,464964,146669589569.41113
125,468964,146176062771.76947
126,472964,144943826624.55045
127,476964,143473925616.51727
128,480964,142636044169.93546
129,484964,141881113136.26047
