,0,1
0,84,8902477809888.225
1,164,6924681610034.4
2,884,3186291984049.013
3,1204,2813732319307.6567
4,2804,1344065964324.2026
5,6164,860945111347.8076
6,6964,822615226826.6978
7,7764,752636250542.2754
8,8564,723617643039.3627
9,9364,703258146730.0557
10,10164,638892334425.8971
11,10964,616725535875.4072
12,11764,570142672427.6614
13,12564,525887990632.6722
14,13364,499161976096.7822
15,14164,490674752320.0819
16,14964,483119407051.20874
17,15764,460634495479.2555
18,16564,453144314763.79034
19,18964,450664942464.4719
20,19764,438587982865.08856
21,20564,433451342643.89905
22,21364,427343772135.4599
23,22164,423431031670.23785
24,22964,409166119640.8021
25,23764,404004810110.0739
26,24564,398959485297.4587
27,26164,395752297130.10754
28,26964,391854086495.7434
29,27764,386931681906.6171
30,28564,380396519941.9778
31,29364,376124493429.0187
32,30164,372603663679.1632
33,30964,369905966685.9632
34,31764,361646606990.58466
35,32564,355819152231.2433
36,33364,353977327729.0379
37,34164,348624270090.1608
38,34964,345354799227.4186
39,35764,342948817376.31433
40,36564,340313856327.54803
41,37364,337905402439.7332
42,38164,333258887017.3512
43,38964,332603544200.74396
44,39764,328397267301.91736
45,40564,326990664657.57306
46,41364,323402294581.2424
47,42164,321624717051.1255
48,42964,317458545880.65564
49,43764,317046808108.6704
50,44564,313611673117.6697
51,45364,310731551146.9498
52,46164,309103412573.3817
53,46964,304912770357.9985
54,47764,303667409976.45294
55,48564,302247473987.95435
56,49364,301725188623.2298
57,50164,299681880042.5295
58,50964,297992912694.07697
59,51764,297056766957.39233
60,53364,294523750505.31464
61,54164,291966944015.6112
62,54964,287239169431.1432
63,55764,285891367018.7556
64,57364,284500974877.419
65,58164,283003018030.485
66,58964,279819050345.4353
67,59764,276995843584.9816
68,60564,274019867926.20172
69,61364,272307937060.061
70,62164,271520509149.05908
71,62964,268516917742.89676
72,63764,264018342468.90054
73,64564,262070404983.65448
74,65364,261322037886.5302
75,66164,258652691266.6663
76,69364,256148795324.1744
