,0,1
0,6006,62206322185.0609
1,12006,29635229816.214493
2,18006,14912956404.111208
3,24006,12661532631.830763
4,30006,4766576933.781575
5,36006,3343503615.6659937
6,42006,2343572686.2727723
7,48006,1668621391.156327
8,54006,1021225107.0898975
9,60006,691033257.8134454
10,66006,385228999.6371097
11,67206,348381828.55719733
12,69606,277133023.9988163
13,70806,223695373.20950723
14,72006,221395160.43794745
15,73206,173573087.3524989
16,74406,162728797.370074
17,75606,134062673.75286405
18,76806,134052679.00824521
19,78006,97898306.65904285
20,79446,69681388.65169851
21,79686,44232898.6185839
22,80166,35722580.79267081
23,80406,27021749.482970662
24,80646,25418391.75318391
25,80886,22182996.57177749
26,81126,20426864.484870262
27,81366,18468785.11325177
28,81606,16701464.502667263
29,81846,13769669.33532396
30,83046,12452542.969049236
31,84246,12422967.529241288
32,85446,9540550.388922898
33,86646,8799475.358706292
34,87846,7275234.4732185
35,90246,6318825.0523447525
36,91446,4989883.553869973
37,92646,4480254.808641752
38,93846,3985519.473781454
39,97446,3095131.9093003953
40,99846,2804971.7597445925
41,102246,2349682.840875821
42,104646,2341473.580201296
43,107046,1772761.4122798142
44,109446,1501559.8248473392
45,111846,1230796.2066180916
46,114246,864024.8594515632
47,116646,862585.9135765368
48,119046,687039.4601278527
49,121446,617915.5519085577
50,122646,513300.3921774881
51,123846,490967.7911323595
52,125046,472480.95136457734
53,126246,410908.3348157555
54,127446,389840.86950658174
55,128646,344784.01448753575
56,131046,307085.21647151577
57,132246,260515.41242020615
58,133446,254609.0911616752
59,134646,216685.8216821768
60,140646,144709.52600816434
61,146646,118576.45172867517
62,152646,92286.53971183873
63,158646,84135.7898300439
64,164646,63607.80611567701
65,170646,51362.847140445825
66,176646,41382.726455371856
67,182646,40759.20166396176
68,188646,31326.324556676584
69,194646,24423.29175168749
70,200646,23691.699575153
71,208758,3251.3410416047855
72,214758,2304.8879074391953
73,220758,2031.8477408298263
74,226758,1565.2533651031865
75,232758,1085.6943963768083
76,238758,899.4661588530532
77,244758,780.0600986249183
78,250758,687.5494863279145
79,256758,608.7693770746309
80,262758,464.1509570659703
81,268758,459.8549152593727
82,274758,363.532890149136
83,280758,287.60067815841154
84,286758,255.18627823567692
85,292758,249.18027507896085
86,298758,208.4992840889219
87,304758,141.0364276546736
88,310758,124.36853081475
89,316758,122.90642348634357
90,322758,104.0844101993645
91,328758,95.59927565081883
92,334758,95.19291818428272
93,356790,53.77852888721581
94,362790,52.267407105742805
95,368790,49.40294180910263
96,374790,49.36094607118626
97,380790,48.59684646551359
98,386790,48.05958136212067
99,392790,47.78499960053502
100,398790,47.379256317187824
101,404790,47.054922922114336
102,410790,47.012986217686326
103,416790,45.57979439809697
104,420582,45.122963903467145
105,437622,43.71102712669312
106,443622,43.48818137624101
107,449622,43.39773998209915
108,455622,43.39379436650909
109,461622,43.34159904917948
110,467622,43.27303383704513
111,473622,43.15494458841552
112,479622,43.14565238604329
