,0,1
0,4516,1722977524136.9014
1,8516,1410252907161.6829
2,12516,1259074929249.26
3,16516,1158178843255.0356
4,20516,981470801411.1113
5,24516,837124646018.7545
6,28516,771726015870.3678
7,32516,695004737467.2579
8,36516,668911517705.036
9,40516,591038237453.4115
10,44516,505647163199.6668
11,48516,480067308311.64954
12,52516,458107961910.01056
13,56516,450133559530.37335
14,60516,438722684454.58124
15,64516,428788457985.73364
16,68516,420300579223.68585
17,72516,407802489888.41846
18,76516,399471138987.14667
19,80516,390067862456.4211
20,84516,383728673235.3257
21,88516,376699380518.09125
22,92516,370321731856.0598
23,96516,364997304599.8144
24,100516,354152603323.4274
25,104516,346364770395.71844
26,108516,340900357461.2443
27,112516,333425335184.6703
28,116516,332322059989.1292
29,120516,326875190971.6066
30,124516,320083385871.0707
31,128516,315604518454.87146
32,132516,309613849307.88495
33,136516,304561023763.6301
34,140516,303612233783.5882
35,144516,300090863540.5565
36,148516,297075121599.5139
37,152516,295757414560.42786
38,156516,291133652912.5113
39,160516,285670837334.0518
40,164516,284059384009.6599
41,168516,279726867636.4513
42,172516,272830893746.42264
43,176516,270401138261.71835
44,180516,264676681528.49792
45,184516,261616617673.0382
46,188516,257917623842.87604
47,192516,254905047216.86038
48,196516,250812869692.06845
49,200516,248234863303.75528
50,204516,244119548175.42468
51,208516,240664722276.9074
52,212516,236440369179.10602
53,216516,234118200990.2087
54,220516,231098360428.83054
55,224516,227043213388.01028
56,228516,223918961128.63165
57,232516,221653582806.97513
58,236516,218770653773.5473
59,240516,216679974263.90222
60,244516,214710168353.98386
61,248516,212455930259.93317
62,252516,209699025917.14346
63,256516,207487606088.86136
64,260516,205135051281.95978
65,264516,203195389203.42712
66,268516,202942945373.38693
67,272516,201023933344.56488
68,276516,199357366044.95297
69,280516,198518003623.08337
70,284516,194484224060.26123
71,288516,192290063094.73163
72,292516,191962554671.44113
73,296516,190175254553.18826
74,300516,188192601798.68542
75,304516,186124419078.49307
76,308516,184899556239.56815
77,312516,182664946725.19342
78,316516,181826556980.92133
79,320516,180417221831.89178
80,324516,178919882825.70612
81,328516,178241051249.13202
82,332516,177406888585.63022
83,336516,176326225863.78998
84,340516,175013010099.36606
85,344516,174032072766.47897
86,348516,173145079474.2316
87,352516,171794546539.48068
88,356516,171090351977.93393
89,360516,169493282835.31937
90,364516,168895459537.60934
91,368516,168283233724.6335
92,372516,167160607242.77588
93,376516,166562952429.17572
94,380516,166035568475.69745
95,384516,165687834351.70074
96,388516,164965997480.77875
97,392516,164015398128.6878
98,396516,163369054910.0003
99,400516,162099247518.09613
100,404516,161099038604.05716
101,408516,160624797542.1973
102,412516,159857828191.62354
103,416516,159141480850.26306
104,420516,158973922912.9364
105,424516,158062632242.43964
106,428516,157466263541.02588
107,432516,156998180677.56235
108,436516,156607692394.4148
109,440516,156290385418.238
110,444516,155396675003.64963
111,448516,154601730201.21497
112,452516,153595418377.6423
113,456516,152729280229.13254
114,460516,152432726591.89325
115,464516,152083906618.55594
116,468516,151246905404.13144
117,472516,150231118107.33154
118,476516,149644327782.44305
119,480516,148883332388.17297
120,484516,148161644519.4778
