,0,1
0,1604,6628353000309.498
1,3204,3822882861216.078
2,4804,2874275462647.9385
3,6404,1683935494420.2178
4,8004,1451841840781.84
5,9604,1355522319637.3997
6,11204,1221916256636.5522
7,12804,1183089455848.1426
8,14404,1089779420343.5779
9,16004,961009163201.6548
10,17604,875073887481.1879
11,19204,800315333603.2825
12,20804,725993542869.0806
13,22404,693045770253.5208
14,24004,689362225955.6111
15,25604,628859436079.8053
16,27204,604536875815.7262
17,28804,538586275648.7336
18,30404,497405322392.5449
19,32004,478881884233.8745
20,33604,471134724096.027
21,35204,455465981608.8018
22,36804,445944259998.5972
23,38404,437638541555.45544
24,40004,431420071531.2506
25,41604,426555671533.6534
26,43204,411432938769.8536
27,44804,404942230520.54333
28,46404,402530770003.47614
29,48004,393660085232.3505
30,49604,390650791240.183
31,51204,383956569394.1984
32,52804,376578978547.71906
33,54404,371249236278.7323
34,56004,368650596849.56915
35,57604,357502143910.4858
36,59204,350607784363.2546
37,60804,348199586267.559
38,62404,343388570617.9969
39,64004,341225549161.594
40,65604,338639258761.19037
41,67204,336062778279.015
42,68804,331992793015.12213
43,70404,326908312276.60223
44,72004,323363747509.29297
45,73604,317754964943.85284
46,75204,315891349791.3426
47,76804,312868536425.0193
48,78404,310548420772.5466
49,80004,308642638132.673
50,81604,304871213547.3613
51,83204,302872962673.08655
52,84804,301142907203.35474
53,86404,298445921677.7234
54,88004,296029529951.7113
55,89604,293608657193.88635
56,91204,291677575357.84607
57,92804,288717205677.3234
58,94404,284785552651.63226
59,96004,283172054907.27325
60,97604,281347448968.2017
61,99204,278500597337.13574
62,100804,275745404519.7814
63,102404,271897508850.1387
64,104004,269007944250.98853
65,105604,264320153644.3924
66,107204,262109471543.71295
67,108804,261791582367.46808
68,110404,259910321847.0944
69,112004,256299524274.5615
70,113604,254536933835.37067
71,115204,250580479338.7319
72,116804,247627897224.44702
73,118404,246138048367.87732
74,120004,244624823278.22406
75,121604,241713382129.68057
76,123204,239819930622.45013
77,124804,234965627367.4493
78,126404,233484515978.56653
79,128004,232367326818.52103
80,129604,228424257060.99454
81,131204,224559596883.23523
82,132804,224064873692.87106
83,134404,222870923490.34506
84,136004,222163081742.21814
85,137604,219048264108.51462
86,139204,217211366500.35324
87,140804,216905027359.9848
88,142404,215167077561.08966
89,144004,214464034181.19516
90,145604,212931889981.10074
91,147204,209962885550.6449
92,148804,209106881882.9426
93,150404,208208917996.17297
94,152004,207163517773.6264
95,153604,206577104753.5327
96,155204,204185275044.82983
97,156804,203420197094.04266
98,158404,202264195458.0385
99,160004,200929841664.62265
100,161604,200198616992.2375
101,163204,199406708021.14398
102,164804,198139551527.08408
103,166404,196664484347.28824
104,168004,195143870448.5908
105,169604,193436799924.16354
106,171204,192125815970.43695
107,172804,190879960036.55106
108,174404,189456976619.6037
109,176004,188946100375.40482
110,177604,186870639210.81418
111,179204,186357700856.62512
112,180804,185108385414.2304
113,182404,184272431641.79178
114,184004,183068652506.5804
115,185604,182063657568.55353
116,187204,180938416960.0276
117,188804,179839998341.53198
118,190404,179105281898.84796
119,192004,178408331046.5495
120,193604,177770755647.24973
121,195204,177204202451.1661
122,196804,176105938523.49893
123,198404,175334645812.3831
124,200004,174578923934.9146
125,201604,173958612527.9106
126,203204,173783162754.4133
127,204804,172868831208.78976
128,206404,172297398459.13336
129,208004,171393377180.88156
130,209604,169655654614.16006
131,211204,169564303369.46524
132,212804,169035252056.71506
133,214404,168717193050.75305
134,216004,167626331297.09747
135,217604,167056219725.07468
136,219204,166755879147.48724
137,220804,166602156403.57053
138,222404,166174021052.5392
139,224004,165668533170.8451
140,225604,165099025200.43134
141,227204,164959242138.05573
142,228804,164028624883.08893
143,230404,163652028925.98035
144,232004,162936106570.58633
145,233604,162259888883.77408
146,235204,161187625528.73123
147,236804,161017668909.66733
148,238404,160617084866.55347
149,240004,159783538351.36285
150,241604,159739403059.16568
151,243204,159341398556.65872
152,244804,159064913635.89966
153,246404,158264983055.83057
154,248004,158260527160.33612
155,249604,157247867873.91595
156,251204,157200143268.36618
157,252804,156873974259.90845
158,254404,156419769445.41934
159,256004,156175674667.4667
160,257604,155475326185.87988
161,259204,155318813567.2858
162,260804,154613439537.05704
163,262404,154161971853.77905
164,264004,153726539330.85138
165,265604,153319956783.1769
166,267204,152672327209.26376
