,0,1
0,804,6758824889003.26
1,1604,4788294376932.441
2,2404,3652891139391.251
3,3204,2809179823848.7524
4,4004,1781842320960.089
5,4804,1498233942512.7742
6,5604,1423225375369.5615
7,6404,1300057343087.5242
8,7204,1220787615882.9004
9,8004,1120067672622.3208
10,8804,1030976025059.5781
11,9604,976061749885.9016
12,10404,856360662135.2009
13,11204,803124528222.3059
14,12004,748620435256.6613
15,12804,703842273018.2373
16,13604,692577626738.3538
17,14404,627721534622.7982
18,15204,614361377105.6838
19,16004,583943047097.6737
20,16804,522389463605.07385
21,17604,501493217715.22046
22,18404,486105318097.3294
23,19204,472200661551.75867
24,20004,461466188669.21124
25,20804,452558484534.2218
26,21604,447609960949.7158
27,23204,445063070312.4385
28,24004,434414146654.1563
29,24804,427519553865.3716
30,25604,422378694469.4948
31,26404,415460522676.9805
32,27204,406958608690.1668
33,28004,402436254389.5606
34,28804,396235414243.0729
35,29604,392227423739.23535
36,30404,387055758756.7626
37,31204,381410023779.2284
38,32004,378470710867.0674
39,32804,373256098432.2512
40,33604,371184487400.1845
41,34404,367355790777.52124
42,35204,360023386701.9046
43,36004,353210342192.88806
44,36804,349901916594.984
45,37604,346017295421.393
46,39204,342902355718.683
47,40004,339775959539.6434
48,40804,337412835445.3069
49,41604,333346913373.72186
50,42404,332792697173.6211
51,43204,328611411960.0328
52,44004,326148671500.193
53,44804,323734610324.5893
54,45604,322338183000.6851
55,46404,317744907009.6761
56,47204,314848289453.3719
57,48004,312861439271.02106
58,48804,310516985594.1518
59,49604,306198251794.22174
60,50404,304538287621.3681
61,51204,303554326161.582
62,52004,302214474641.04065
63,52804,300118512313.09607
64,53604,299410158461.9357
65,54404,297048195376.5749
66,55204,294561857464.8382
67,56004,293383804121.0277
68,56804,289090015448.4864
69,59204,286531875308.2053
70,60804,284783205398.74225
71,61604,282977469712.5238
72,62404,280786020819.97406
73,63204,277854163957.29254
74,64804,275715801369.0565
75,65604,272189806211.42303
76,66404,270070615971.0293
77,67204,266552301963.60538
78,68004,264319947148.3485
79,68804,262070784176.8084
80,69604,261302593496.26172
81,70404,258793353445.00705
82,71204,256215288125.31827
83,72004,254741576674.24197
84,72804,251338039592.0429
85,73604,249681214874.81046
86,74404,247620939154.61624
87,75204,246533096798.07205
88,76004,243603981316.30634
89,76804,242405674065.56882
90,77604,241165882395.88788
91,78404,237782456302.95862
92,79204,235953205807.0625
93,80004,233689261194.52548
94,80804,232928924113.85092
95,81604,228935927655.1297
