,0,1
0,2406,158706417260.43073
1,4806,53264949657.23256
2,7206,49903169403.061325
3,9606,24364320039.63294
4,12006,18830805233.264698
5,14406,14903756814.584564
6,16806,13097193923.969542
7,19206,5799156020.980286
8,21606,4401131047.256522
9,24006,3725397997.58239
10,26406,2756142137.113654
11,26646,2228046388.2567644
12,27126,1707147820.6262615
13,34278,313363273.3953061
14,40278,235165705.1884997
15,46278,175581218.5562782
16,52278,165203760.77028078
17,58278,115069815.74645449
18,64278,70009073.4776075
19,70278,57451996.0777429
20,76278,27385597.740312204
21,82278,25515289.97888039
22,88278,19512373.820527866
23,94278,14247984.347344045
24,97638,8664617.636495864
25,100038,7679050.63152965
26,102438,6824043.933091295
27,104838,5432217.338287396
28,107238,4489451.145695057
29,109638,4336213.510294608
30,112038,3698456.5842912532
31,114438,3181837.6042316863
32,116838,2914844.402290517
33,119238,2510316.959433777
34,121638,2341665.0708786827
35,127830,1005990.9465399273
36,133830,827886.9622108147
37,139830,633582.9226079995
38,145830,575114.0741168348
39,151830,414821.7467461443
40,157830,346279.3440395739
41,163830,331350.4553959766
42,169830,278458.83628916374
43,175830,216697.09237842544
44,181830,138472.35401535532
45,187830,129712.09088773346
46,209382,12138.992901487809
47,215382,11759.530792255227
48,221382,7733.824017620608
49,227382,6173.332928842985
50,233382,4780.502196278055
51,239382,4608.522909940726
52,245382,3704.4017145656894
53,251382,3069.2646478728693
54,257382,2197.1134938980404
55,263382,2130.4934416615733
56,269382,1611.7473927542103
57,302166,63.05174301122018
58,308166,60.43478926223219
59,314166,59.90300520752767
60,320166,56.177967940439494
61,326166,55.48190300156319
62,332166,53.25723539691775
63,338166,50.44867099123041
64,344166,49.987166061468706
65,350166,48.71388153313261
66,356166,48.30344682155073
67,362166,48.21733798566215
68,382758,45.336618723116565
69,388758,45.294001557697435
70,394758,45.1682197915548
71,400758,44.800231477761045
72,406758,44.70946033040955
73,412758,44.663461974992344
74,418758,44.64760897760851
75,424758,43.96698116080619
76,430758,43.90376102963832
77,436758,43.771233618390966
78,442758,43.73560964876571
79,450390,43.19771864793982
80,456390,43.1911317476613
81,462390,43.14975584182296
82,468390,43.11528842248556
83,474390,43.099619524207164
84,480390,43.065730035664814
