,0,1
0,164,8867613523976.402
1,1364,2842025792489.052
2,4244,1261204599006.8848
3,5844,1147907854018.9575
4,7444,1112056461646.318
5,9044,978386430501.5336
6,10644,910303132431.5004
7,12244,797118344123.4105
8,13844,733267793807.9512
9,15444,696904801539.0986
10,17044,675012001476.6934
11,18644,623564489496.4536
12,20244,585314380885.6675
13,21844,536122986984.8987
14,23444,495233270892.1651
15,25044,479326685549.9953
16,26644,467929530767.00464
17,28244,454621273814.89355
18,29844,446640771205.82733
19,31444,440094286799.10376
20,33044,433371496956.51215
21,34644,426857992891.483
22,36244,419517395551.4581
23,37844,409605979925.1125
24,39444,401429957958.82324
25,41044,395146240907.67114
26,42644,390337179357.3441
27,44244,385937719645.9812
28,45844,378548102944.6739
29,47444,378276941397.8775
30,49044,372105863487.463
31,50644,365070531094.28955
32,52244,362884896856.6717
33,53844,353276566957.24976
34,55444,348833936082.3759
35,57044,345846620371.61896
36,58644,341701481039.2011
37,60244,340728895052.14
38,61844,337193040206.18066
39,63444,333104440284.09216
40,65044,328796031889.47797
41,66644,327876328873.7762
42,68244,323314461132.03406
43,69844,318966194162.3106
44,71444,315473033785.10254
45,73044,313331968844.1659
46,74644,309877745634.01135
47,76244,305863642904.4182
48,77844,304107900221.853
49,79444,301634606180.0222
50,81044,299783011985.3315
51,82644,297231980710.34814
52,84244,294232986768.0039
53,85844,292769323054.448
54,87444,288996790667.6634
55,89044,285800159028.4575
56,90644,283352251470.1792
57,92244,282872905017.7341
58,93844,278762962471.3961
59,95444,276376409150.79297
60,97044,272376982377.18735
61,98644,270416241101.78156
62,100244,266578684456.04654
63,101844,262576608274.41873
64,103444,262236856492.91425
65,105044,260946732157.42838
66,106644,257208200824.52884
67,108244,256059471916.7801
68,109844,252541152380.63904
69,111444,250681855829.51715
70,113044,248480814458.19397
71,114644,246218649105.11414
72,116244,243087820819.75714
73,117844,240586253072.3511
74,119444,236791422926.78198
75,121044,235979561491.8045
76,122644,234086824248.6582
77,124244,232852136701.62143
78,125844,228942392260.505
79,127444,225108815370.38623
80,129044,223874158146.61356
81,130644,222399727353.14584
82,132244,220004457132.82043
83,133844,217960412488.3945
84,135444,216961162045.25
85,137044,215206241157.39532
86,138644,213074685030.48788
87,140244,210218541359.12305
88,141844,209468929970.02637
89,143444,208227166939.27
90,145044,206995565167.4438
91,146644,205368132848.56808
92,148244,203797078726.66428
93,149844,202772389168.3061
94,151444,201518688266.9257
95,153044,200252955604.659
96,154644,199293433172.3874
97,156244,198616388404.20294
98,157844,198028030765.27686
99,159444,196498087583.49677
100,161044,194320886341.57468
101,162644,193074800605.2905
102,164244,191785791820.24338
103,165844,189889926605.0677
104,167444,189485170703.99326
105,169044,187596990191.85797
106,170644,187313184030.54166
107,172244,186372245642.81973
108,173844,185199733859.8646
109,175444,184360643959.20978
110,177044,183638156903.5651
111,178644,182406198542.95007
112,180244,181473496452.6282
113,181844,180749359931.48422
114,183444,179441313340.00812
115,185044,178780447772.27838
116,186644,178034432691.80185
117,188244,177112106159.67438
118,189844,176735731166.91003
119,191444,175325310354.28372
120,193044,174798463777.72086
121,194644,174430777942.35852
122,196244,173267148597.04373
123,197844,173139041906.7449
124,199444,172644422043.45914
125,201044,171881759176.38763
126,202644,170243878759.14957
127,204244,169566701494.616
128,205844,169038719453.89456
129,207444,168195349825.28778
130,209044,167548888648.91678
131,210644,167047991739.2079
132,212244,166910505610.0018
133,213844,166507062085.33484
134,215444,166289506138.16003
135,217044,165951631244.67227
136,218644,165142749728.4762
137,220244,164351480984.46786
138,221844,164200636139.90225
139,223444,163835892049.83698
140,225044,163603493010.98108
141,226644,162478653177.26428
142,228244,161304955243.75125
143,229844,161136660765.3282
144,231444,160738075003.69107
145,233044,160031646799.42746
146,234644,159709772199.2397
147,236244,159347343444.90463
148,237844,158857765281.2964
149,239444,158360933106.0759
150,241044,157928033471.84732
151,242644,157228619864.55963
152,244244,157037516798.66293
153,245844,156732755697.00613
154,247444,156508633026.36823
155,249044,156151297268.62003
156,250644,155331671241.24857
157,252244,154628521784.7054
158,253844,153738919185.1921
159,255444,153313273063.27988
160,257044,152955668749.94022
161,258644,152565895797.97134
162,260244,152299110067.53763
163,261844,151740946058.19287
164,263444,151291491351.25406
165,265044,151215365127.31454
166,266644,150853482808.36792
167,268244,150021267123.69507
168,269844,149669653253.19556
169,271444,149268945890.99765
170,273044,148597676361.4605
171,274644,148389624374.1599
172,276244,147750097946.5052
173,277844,147338213007.27042
174,279444,146687034414.36652
175,281044,146183190543.9766
176,282644,145346849906.6419
177,284244,144643767995.37827
178,285844,143739663856.38235
179,287444,143337518674.6565
180,289044,142615026672.44147
181,290644,142164768801.93683
182,292244,141549199350.21912
183,293844,141362892401.81177
184,295444,140963897711.5665
185,297044,140303542984.12228
186,298644,139750331035.1972
187,300244,139133455312.752
188,301844,138621472529.71133
189,303444,138268370544.76837
190,305044,138014312891.45657
191,306644,137809469630.5108
192,308244,137690271064.2834
193,309844,137456942285.42203
194,311444,136821658246.873
195,313044,136695769146.22424
196,314644,136597446702.36603
197,316244,136069135354.81201
198,317844,135758721512.79425
199,319444,135716447529.52406
200,321044,135597533741.56226
201,322644,135315023282.7746
202,324244,135261172400.18018
203,325844,134752745947.95941
204,327444,134609576938.94211
205,329044,134252337870.20714
206,330644,133800060410.65494
207,332244,133480993823.52713
208,333844,133257451176.28464
209,335444,132725036448.86848
210,337044,132251302387.35478
211,338644,131749135820.57861
212,340244,131686415922.15352
213,341844,131295665525.64293
