120000, 8, 2.314645e+16
120000, 8, 1.738895e+16
120000, 8, 1.670237e+16
120000, 8, 1.625971e+16
120000, 8, 4.697734e+15
120000, 8, 4.579377e+15
120000, 8, 4.462777e+15
120000, 8, 4.424890e+15
120000, 8, 4.344727e+15
120000, 8, 4.268843e+15
120000, 8, 1.712345e+16
120000, 8, 1.542904e+16
120000, 8, 1.122753e+16
120000, 8, 1.118691e+16
120000, 8, 7.563615e+15
120000, 8, 7.290190e+15
120000, 8, 4.923491e+15
500000, 8, 4.274520e+15
500000, 8, 4.207744e+15
500000, 8, 2.810809e+15
500000, 8, 2.804934e+15
120000, 8, 2.667108e+15
500000, 8, 2.672683e+15
120000, 8, 2.509730e+15
120000, 8, 2.429271e+15
500000, 8, 2.120633e+15
500000, 8, 2.098488e+15
500000, 8, 1.547242e+15
500000, 8, 1.490197e+15
500000, 8, 1.091515e+15
